timestamp,event_id,n_event,callback_id,application_id,service_id,value
2025-07-14 16:22:13.060647,enact,2,service_energy,case_study_1,mongodb_batch_torino_medium,598
2025-07-14 16:22:13.060649,enact,2,service_energy,case_study_1,analyzer_large,598
2025-07-14 16:22:13.060650,enact,2,service_energy,case_study_1,mongodb_history_medium,598
2025-07-14 16:22:13.060758,enact,2,service_emissions,case_study_1,gateway_large,240396.0
2025-07-14 16:22:13.060764,enact,2,service_emissions,case_study_1,data_gather_olbia_large,203320.0
2025-07-14 16:22:13.060766,enact,2,service_emissions,case_study_1,data_gather_torino_large,203320.0
2025-07-14 16:22:13.060768,enact,2,service_emissions,case_study_1,aggregator_large,203320.0
2025-07-14 16:22:13.060770,enact,2,service_emissions,case_study_1,mongodb_batch_olbia_medium,215280.0
2025-07-14 16:22:13.060772,enact,2,service_emissions,case_study_1,mongodb_batch_torino_medium,215280.0
2025-07-14 16:22:13.060773,enact,2,service_emissions,case_study_1,analyzer_large,215280.0
2025-07-14 16:22:13.060775,enact,2,service_emissions,case_study_1,mongodb_history_medium,215280.0
2025-07-14 16:22:13.061137,enact,2,required_cpu,case_study_1,gateway_large,2
2025-07-14 16:22:13.061143,enact,2,required_cpu,case_study_1,data_gather_olbia_large,1
2025-07-14 16:22:13.061145,enact,2,required_cpu,case_study_1,data_gather_torino_large,1
2025-07-14 16:22:13.061147,enact,2,required_cpu,case_study_1,aggregator_large,2
2025-07-14 16:22:13.061149,enact,2,required_cpu,case_study_1,mongodb_batch_olbia_medium,1
2025-07-14 16:22:13.061150,enact,2,required_cpu,case_study_1,mongodb_batch_torino_medium,1
2025-07-14 16:22:13.061152,enact,2,required_cpu,case_study_1,analyzer_large,2
2025-07-14 16:22:13.061153,enact,2,required_cpu,case_study_1,mongodb_history_medium,2
2025-07-14 16:22:13.061241,enact,2,required_ram,case_study_1,gateway_large,4
2025-07-14 16:22:13.061245,enact,2,required_ram,case_study_1,data_gather_olbia_large,2
2025-07-14 16:22:13.061247,enact,2,required_ram,case_study_1,data_gather_torino_large,2
2025-07-14 16:22:13.061248,enact,2,required_ram,case_study_1,aggregator_large,4.0
2025-07-14 16:22:13.061250,enact,2,required_ram,case_study_1,mongodb_batch_olbia_medium,2
2025-07-14 16:22:13.061252,enact,2,required_ram,case_study_1,mongodb_batch_torino_medium,2
2025-07-14 16:22:13.061253,enact,2,required_ram,case_study_1,analyzer_large,2
2025-07-14 16:22:13.061255,enact,2,required_ram,case_study_1,mongodb_history_medium,4
2025-07-14 16:22:13.061321,enact,2,required_storage,case_study_1,gateway_large,0
2025-07-14 16:22:13.061324,enact,2,required_storage,case_study_1,data_gather_olbia_large,0
2025-07-14 16:22:13.061326,enact,2,required_storage,case_study_1,data_gather_torino_large,0
2025-07-14 16:22:13.061327,enact,2,required_storage,case_study_1,aggregator_large,0
2025-07-14 16:22:13.061329,enact,2,required_storage,case_study_1,mongodb_batch_olbia_medium,50
2025-07-14 16:22:13.061330,enact,2,required_storage,case_study_1,mongodb_batch_torino_medium,50
2025-07-14 16:22:13.061332,enact,2,required_storage,case_study_1,analyzer_large,0
2025-07-14 16:22:13.061333,enact,2,required_storage,case_study_1,mongodb_history_medium,100
2025-07-14 16:22:13.061407,enact,2,required_gpu,case_study_1,gateway_large,0
2025-07-14 16:22:13.061409,enact,2,required_gpu,case_study_1,data_gather_olbia_large,0
2025-07-14 16:22:13.061411,enact,2,required_gpu,case_study_1,data_gather_torino_large,0
2025-07-14 16:22:13.061413,enact,2,required_gpu,case_study_1,aggregator_large,0
2025-07-14 16:22:13.061414,enact,2,required_gpu,case_study_1,mongodb_batch_olbia_medium,0
2025-07-14 16:22:13.061416,enact,2,required_gpu,case_study_1,mongodb_batch_torino_medium,0
2025-07-14 16:22:13.061417,enact,2,required_gpu,case_study_1,analyzer_large,0
2025-07-14 16:22:13.061419,enact,2,required_gpu,case_study_1,mongodb_history_medium,0
2025-07-14 16:22:13.062071,enact,2,placement,case_study_1,gateway_large,main
2025-07-14 16:22:13.062073,enact,2,placement,case_study_1,data_gather_olbia_large,worker1
2025-07-14 16:22:13.062075,enact,2,placement,case_study_1,data_gather_torino_large,worker1
2025-07-14 16:22:13.062076,enact,2,placement,case_study_1,aggregator_large,worker1
2025-07-14 16:22:13.062078,enact,2,placement,case_study_1,mongodb_batch_olbia_medium,worker2
2025-07-14 16:22:13.062079,enact,2,placement,case_study_1,mongodb_batch_torino_medium,worker2
2025-07-14 16:22:13.062081,enact,2,placement,case_study_1,analyzer_large,worker3
2025-07-14 16:22:13.062082,enact,2,placement,case_study_1,mongodb_history_medium,worker2
2025-07-14 16:22:13.075718,enact,3,service_energy,case_study_1,gateway_large,598
2025-07-14 16:22:13.075724,enact,3,service_energy,case_study_1,data_gather_olbia_large,598
2025-07-14 16:22:13.075726,enact,3,service_energy,case_study_1,data_gather_torino_large,598
2025-07-14 16:22:13.075728,enact,3,service_energy,case_study_1,aggregator_large,598
2025-07-14 16:22:13.075729,enact,3,service_energy,case_study_1,mongodb_batch_olbia_medium,598
2025-07-14 16:22:13.075731,enact,3,service_energy,case_study_1,mongodb_batch_torino_medium,598
2025-07-14 16:22:13.075733,enact,3,service_energy,case_study_1,analyzer_large,598
2025-07-14 16:22:13.075735,enact,3,service_energy,case_study_1,mongodb_history_medium,598
2025-07-14 16:22:13.075843,enact,3,service_emissions,case_study_1,gateway_large,240396.0
2025-07-14 16:22:13.075847,enact,3,service_emissions,case_study_1,data_gather_olbia_large,203320.0
2025-07-14 16:22:13.075849,enact,3,service_emissions,case_study_1,data_gather_torino_large,203320.0
2025-07-14 16:22:13.075851,enact,3,service_emissions,case_study_1,aggregator_large,203320.0
2025-07-14 16:22:13.075852,enact,3,service_emissions,case_study_1,mongodb_batch_olbia_medium,215280.0
2025-07-14 16:22:13.075854,enact,3,service_emissions,case_study_1,mongodb_batch_torino_medium,215280.0
2025-07-14 16:22:13.075856,enact,3,service_emissions,case_study_1,analyzer_large,215280.0
2025-07-14 16:22:13.075857,enact,3,service_emissions,case_study_1,mongodb_history_medium,215280.0
2025-07-14 16:22:13.076187,enact,3,required_cpu,case_study_1,gateway_large,2
2025-07-14 16:22:13.076189,enact,3,required_cpu,case_study_1,data_gather_olbia_large,1
2025-07-14 16:22:13.076191,enact,3,required_cpu,case_study_1,data_gather_torino_large,1
2025-07-14 16:22:13.076193,enact,3,required_cpu,case_study_1,aggregator_large,2
2025-07-14 16:22:13.076194,enact,3,required_cpu,case_study_1,mongodb_batch_olbia_medium,1
2025-07-14 16:22:13.076196,enact,3,required_cpu,case_study_1,mongodb_batch_torino_medium,1
2025-07-14 16:22:13.076198,enact,3,required_cpu,case_study_1,analyzer_large,2
2025-07-14 16:22:13.076199,enact,3,required_cpu,case_study_1,mongodb_history_medium,2
2025-07-14 16:22:13.076267,enact,3,required_ram,case_study_1,gateway_large,4
2025-07-14 16:22:13.076271,enact,3,required_ram,case_study_1,data_gather_olbia_large,2
2025-07-14 16:22:13.076273,enact,3,required_ram,case_study_1,data_gather_torino_large,2
2025-07-14 16:22:13.076274,enact,3,required_ram,case_study_1,aggregator_large,4.0
2025-07-14 16:22:13.076276,enact,3,required_ram,case_study_1,mongodb_batch_olbia_medium,2
2025-07-14 16:22:13.076277,enact,3,required_ram,case_study_1,mongodb_batch_torino_medium,2
2025-07-14 16:22:13.076279,enact,3,required_ram,case_study_1,analyzer_large,2
2025-07-14 16:22:13.076280,enact,3,required_ram,case_study_1,mongodb_history_medium,4
2025-07-14 16:22:13.076362,enact,3,required_storage,case_study_1,gateway_large,0
2025-07-14 16:22:13.076364,enact,3,required_storage,case_study_1,data_gather_olbia_large,0
2025-07-14 16:22:13.076366,enact,3,required_storage,case_study_1,data_gather_torino_large,0
2025-07-14 16:22:13.076367,enact,3,required_storage,case_study_1,aggregator_large,0
2025-07-14 16:22:13.076369,enact,3,required_storage,case_study_1,mongodb_batch_olbia_medium,50
2025-07-14 16:22:13.076371,enact,3,required_storage,case_study_1,mongodb_batch_torino_medium,50
2025-07-14 16:22:13.076372,enact,3,required_storage,case_study_1,analyzer_large,0
2025-07-14 16:22:13.076374,enact,3,required_storage,case_study_1,mongodb_history_medium,100
2025-07-14 16:22:13.076432,enact,3,required_gpu,case_study_1,gateway_large,0
2025-07-14 16:22:13.076435,enact,3,required_gpu,case_study_1,data_gather_olbia_large,0
2025-07-14 16:22:13.076436,enact,3,required_gpu,case_study_1,data_gather_torino_large,0
2025-07-14 16:22:13.076438,enact,3,required_gpu,case_study_1,aggregator_large,0
2025-07-14 16:22:13.076439,enact,3,required_gpu,case_study_1,mongodb_batch_olbia_medium,0
2025-07-14 16:22:13.076441,enact,3,required_gpu,case_study_1,mongodb_batch_torino_medium,0
2025-07-14 16:22:13.076442,enact,3,required_gpu,case_study_1,analyzer_large,0
2025-07-14 16:22:13.076444,enact,3,required_gpu,case_study_1,mongodb_history_medium,0
2025-07-14 16:22:13.077222,enact,3,placement,case_study_1,gateway_large,main
2025-07-14 16:22:13.077226,enact,3,placement,case_study_1,data_gather_olbia_large,worker1
2025-07-14 16:22:13.077228,enact,3,placement,case_study_1,data_gather_torino_large,worker1
2025-07-14 16:22:13.077229,enact,3,placement,case_study_1,aggregator_large,worker1
2025-07-14 16:22:13.077231,enact,3,placement,case_study_1,mongodb_batch_olbia_medium,worker2
2025-07-14 16:22:13.077232,enact,3,placement,case_study_1,mongodb_batch_torino_medium,worker2
2025-07-14 16:22:13.077234,enact,3,placement,case_study_1,analyzer_large,worker3
2025-07-14 16:22:13.077235,enact,3,placement,case_study_1,mongodb_history_medium,worker2
2025-07-14 16:22:13.090915,enact,4,service_energy,case_study_1,gateway_large,598
2025-07-14 16:22:13.090920,enact,4,service_energy,case_study_1,data_gather_olbia_large,598
2025-07-14 16:22:13.090922,enact,4,service_energy,case_study_1,data_gather_torino_large,598
2025-07-14 16:22:13.090924,enact,4,service_energy,case_study_1,aggregator_large,598
2025-07-14 16:22:13.090925,enact,4,service_energy,case_study_1,mongodb_batch_olbia_medium,598
2025-07-14 16:22:13.090927,enact,4,service_energy,case_study_1,mongodb_batch_torino_medium,598
2025-07-14 16:22:13.090928,enact,4,service_energy,case_study_1,analyzer_large,598
2025-07-14 16:22:13.090930,enact,4,service_energy,case_study_1,mongodb_history_medium,598
2025-07-14 16:22:13.091080,enact,4,service_emissions,case_study_1,gateway_large,240396.0
2025-07-14 16:22:13.091086,enact,4,service_emissions,case_study_1,data_gather_olbia_large,203320.0
2025-07-14 16:22:13.091089,enact,4,service_emissions,case_study_1,data_gather_torino_large,203320.0
2025-07-14 16:22:13.091090,enact,4,service_emissions,case_study_1,aggregator_large,203320.0
2025-07-14 16:22:13.091092,enact,4,service_emissions,case_study_1,mongodb_batch_olbia_medium,215280.0
2025-07-14 16:22:13.091094,enact,4,service_emissions,case_study_1,mongodb_batch_torino_medium,215280.0
2025-07-14 16:22:13.091095,enact,4,service_emissions,case_study_1,analyzer_large,215280.0
2025-07-14 16:22:13.091097,enact,4,service_emissions,case_study_1,mongodb_history_medium,215280.0
2025-07-14 16:22:13.091601,enact,4,required_cpu,case_study_1,gateway_large,2
2025-07-14 16:22:13.091603,enact,4,required_cpu,case_study_1,data_gather_olbia_large,1
2025-07-14 16:22:13.091605,enact,4,required_cpu,case_study_1,data_gather_torino_large,1
2025-07-14 16:22:13.091607,enact,4,required_cpu,case_study_1,aggregator_large,2
2025-07-14 16:22:13.091608,enact,4,required_cpu,case_study_1,mongodb_batch_olbia_medium,1
2025-07-14 16:22:13.091610,enact,4,required_cpu,case_study_1,mongodb_batch_torino_medium,1
2025-07-14 16:22:13.091611,enact,4,required_cpu,case_study_1,analyzer_large,2
2025-07-14 16:22:13.091613,enact,4,required_cpu,case_study_1,mongodb_history_medium,2
2025-07-14 16:22:13.091724,enact,4,required_ram,case_study_1,gateway_large,4
2025-07-14 16:22:13.091727,enact,4,required_ram,case_study_1,data_gather_olbia_large,2
2025-07-14 16:22:13.091729,enact,4,required_ram,case_study_1,data_gather_torino_large,2
2025-07-14 16:22:13.091730,enact,4,required_ram,case_study_1,aggregator_large,4.0
2025-07-14 16:22:13.091732,enact,4,required_ram,case_study_1,mongodb_batch_olbia_medium,2
2025-07-14 16:22:13.091734,enact,4,required_ram,case_study_1,mongodb_batch_torino_medium,2
2025-07-14 16:22:13.091735,enact,4,required_ram,case_study_1,analyzer_large,2
2025-07-14 16:22:13.091737,enact,4,required_ram,case_study_1,mongodb_history_medium,4
2025-07-14 16:22:13.091793,enact,4,required_storage,case_study_1,gateway_large,0
2025-07-14 16:22:13.091795,enact,4,required_storage,case_study_1,data_gather_olbia_large,0
2025-07-14 16:22:13.091797,enact,4,required_storage,case_study_1,data_gather_torino_large,0
2025-07-14 16:22:13.091799,enact,4,required_storage,case_study_1,aggregator_large,0
2025-07-14 16:22:13.091801,enact,4,required_storage,case_study_1,mongodb_batch_olbia_medium,50
2025-07-14 16:22:13.091802,enact,4,required_storage,case_study_1,mongodb_batch_torino_medium,50
2025-07-14 16:22:13.091804,enact,4,required_storage,case_study_1,analyzer_large,0
2025-07-14 16:22:13.091806,enact,4,required_storage,case_study_1,mongodb_history_medium,100
2025-07-14 16:22:13.091851,enact,4,required_gpu,case_study_1,gateway_large,0
2025-07-14 16:22:13.091854,enact,4,required_gpu,case_study_1,data_gather_olbia_large,0
2025-07-14 16:22:13.091855,enact,4,required_gpu,case_study_1,data_gather_torino_large,0
2025-07-14 16:22:13.091857,enact,4,required_gpu,case_study_1,aggregator_large,0
2025-07-14 16:22:13.091858,enact,4,required_gpu,case_study_1,mongodb_batch_olbia_medium,0
2025-07-14 16:22:13.091860,enact,4,required_gpu,case_study_1,mongodb_batch_torino_medium,0
2025-07-14 16:22:13.091862,enact,4,required_gpu,case_study_1,analyzer_large,0
2025-07-14 16:22:13.091863,enact,4,required_gpu,case_study_1,mongodb_history_medium,0
2025-07-14 16:22:13.092497,enact,4,placement,case_study_1,gateway_large,main
2025-07-14 16:22:13.092500,enact,4,placement,case_study_1,data_gather_olbia_large,worker1
2025-07-14 16:22:13.092501,enact,4,placement,case_study_1,data_gather_torino_large,worker1
2025-07-14 16:22:13.092503,enact,4,placement,case_study_1,aggregator_large,worker1
2025-07-14 16:22:13.092505,enact,4,placement,case_study_1,mongodb_batch_olbia_medium,worker2
2025-07-14 16:22:13.092506,enact,4,placement,case_study_1,mongodb_batch_torino_medium,worker2
2025-07-14 16:22:13.092508,enact,4,placement,case_study_1,analyzer_large,worker3
2025-07-14 16:22:13.092509,enact,4,placement,case_study_1,mongodb_history_medium,worker2
2025-07-14 16:22:13.105795,enact,5,service_energy,case_study_1,gateway_large,598
2025-07-14 16:22:13.105800,enact,5,service_energy,case_study_1,data_gather_olbia_large,598
2025-07-14 16:22:13.105802,enact,5,service_energy,case_study_1,data_gather_torino_large,598
2025-07-14 16:22:13.105804,enact,5,service_energy,case_study_1,aggregator_large,598
2025-07-14 16:22:13.105806,enact,5,service_energy,case_study_1,mongodb_batch_olbia_medium,598
2025-07-14 16:22:13.105807,enact,5,service_energy,case_study_1,mongodb_batch_torino_medium,598
2025-07-14 16:22:13.105809,enact,5,service_energy,case_study_1,analyzer_large,598
2025-07-14 16:22:13.105810,enact,5,service_energy,case_study_1,mongodb_history_medium,598
2025-07-14 16:22:13.105954,enact,5,service_emissions,case_study_1,gateway_large,240396.0
2025-07-14 16:22:13.105958,enact,5,service_emissions,case_study_1,data_gather_olbia_large,203320.0
2025-07-14 16:22:13.105960,enact,5,service_emissions,case_study_1,data_gather_torino_large,203320.0
2025-07-14 16:22:13.105961,enact,5,service_emissions,case_study_1,aggregator_large,203320.0
2025-07-14 16:22:13.105963,enact,5,service_emissions,case_study_1,mongodb_batch_olbia_medium,215280.0
2025-07-14 16:22:13.105964,enact,5,service_emissions,case_study_1,mongodb_batch_torino_medium,215280.0
2025-07-14 16:22:13.105966,enact,5,service_emissions,case_study_1,analyzer_large,215280.0
2025-07-14 16:22:13.105968,enact,5,service_emissions,case_study_1,mongodb_history_medium,215280.0
2025-07-14 16:22:13.106251,enact,5,required_cpu,case_study_1,gateway_large,2
2025-07-14 16:22:13.106253,enact,5,required_cpu,case_study_1,data_gather_olbia_large,1
2025-07-14 16:22:13.106255,enact,5,required_cpu,case_study_1,data_gather_torino_large,1
2025-07-14 16:22:13.106257,enact,5,required_cpu,case_study_1,aggregator_large,2
2025-07-14 16:22:13.106258,enact,5,required_cpu,case_study_1,mongodb_batch_olbia_medium,1
2025-07-14 16:22:13.106260,enact,5,required_cpu,case_study_1,mongodb_batch_torino_medium,1
2025-07-14 16:22:13.106261,enact,5,required_cpu,case_study_1,analyzer_large,2
2025-07-14 16:22:13.106263,enact,5,required_cpu,case_study_1,mongodb_history_medium,2
2025-07-14 16:22:13.106321,enact,5,required_ram,case_study_1,gateway_large,4
2025-07-14 16:22:13.106323,enact,5,required_ram,case_study_1,data_gather_olbia_large,2
2025-07-14 16:22:13.106325,enact,5,required_ram,case_study_1,data_gather_torino_large,2
2025-07-14 16:22:13.106326,enact,5,required_ram,case_study_1,aggregator_large,4.0
2025-07-14 16:22:13.106328,enact,5,required_ram,case_study_1,mongodb_batch_olbia_medium,2
2025-07-14 16:22:13.106329,enact,5,required_ram,case_study_1,mongodb_batch_torino_medium,2
2025-07-14 16:22:13.106331,enact,5,required_ram,case_study_1,analyzer_large,2
2025-07-14 16:22:13.106332,enact,5,required_ram,case_study_1,mongodb_history_medium,4
2025-07-14 16:22:13.106390,enact,5,required_storage,case_study_1,gateway_large,0
2025-07-14 16:22:13.106392,enact,5,required_storage,case_study_1,data_gather_olbia_large,0
2025-07-14 16:22:13.106394,enact,5,required_storage,case_study_1,data_gather_torino_large,0
2025-07-14 16:22:13.106395,enact,5,required_storage,case_study_1,aggregator_large,0
2025-07-14 16:22:13.106397,enact,5,required_storage,case_study_1,mongodb_batch_olbia_medium,50
2025-07-14 16:22:13.106398,enact,5,required_storage,case_study_1,mongodb_batch_torino_medium,50
2025-07-14 16:22:13.106400,enact,5,required_storage,case_study_1,analyzer_large,0
2025-07-14 16:22:13.106401,enact,5,required_storage,case_study_1,mongodb_history_medium,100
2025-07-14 16:22:13.106451,enact,5,required_gpu,case_study_1,gateway_large,0
2025-07-14 16:22:13.106453,enact,5,required_gpu,case_study_1,data_gather_olbia_large,0
2025-07-14 16:22:13.106455,enact,5,required_gpu,case_study_1,data_gather_torino_large,0
2025-07-14 16:22:13.106457,enact,5,required_gpu,case_study_1,aggregator_large,0
2025-07-14 16:22:13.106458,enact,5,required_gpu,case_study_1,mongodb_batch_olbia_medium,0
2025-07-14 16:22:13.106459,enact,5,required_gpu,case_study_1,mongodb_batch_torino_medium,0
2025-07-14 16:22:13.106461,enact,5,required_gpu,case_study_1,analyzer_large,0
2025-07-14 16:22:13.106463,enact,5,required_gpu,case_study_1,mongodb_history_medium,0
2025-07-14 16:22:13.107155,enact,5,placement,case_study_1,gateway_large,main
2025-07-14 16:22:13.107158,enact,5,placement,case_study_1,data_gather_olbia_large,worker1
