timestamp,event_id,n_event,callback_id,value
2025-07-14 16:25:35.289073,stop,1,seed,42
2025-07-14 16:25:35.289138,stop,1,ticks,144
2025-07-14 16:25:35.289193,stop,1,simulation_time,2.150330066680908
